Type,Location,Store,Lat,Long
Woolworths,Aotea,Woolworths Aotea,-41.12037409,174.8672878
Woolworths,Crofton Downs,Woolworths Crofton Downs,-41.2570168,174.7657916
Woolworths,Johnsonville,Woolworths Johnsonville,-41.22420134,174.8080804
Woolworths,Johnsonville Mall,Woolworths Johnsonville Mall,-41.22301748,174.8054403
Woolworths,Karori,Woolworths Karori,-41.28414317,174.7378322
Woolworths,Kilbirnie,Woolworths Kilbirnie,-41.31915267,174.7949406
Woolworths,Lower Hutt,Woolworths Lower Hutt,-41.20671725,174.9057739
Woolworths,Maidstone,Woolworths Maidstone,-41.12398941,175.0712829
Woolworths,Newtown,Woolworths Newtown,-41.30723721,174.7775521
Woolworths,Petone,Woolworths Petone,-41.22215219,174.8724534
Woolworths,Porirua,Woolworths Porirua,-41.12478136,174.8402584
Woolworths,Queensgate,Woolworths Queensgate,-41.21049785,174.9067399
Woolworths,Tawa,Woolworths Tawa,-41.18170132,174.8295181
Woolworths,Upper Hutt,Woolworths Upper Hutt,-41.12221251,175.0708831
Woolworths,Wainuiomata,Woolworths Wainuiomata,-41.26057185,174.9445227
FreshChoice,Cuba Street,FreshChoice Cuba Street,-41.28633405,174.7731157
FreshChoice,Woburn,FreshChoice Woburn,-41.21199349,174.913878
FreshChoice,Cannons Creek,FreshChoice Cannons Creek,-41.12412146,174.8671861
Metro,Cable Car Lane,Metro Cable Car Lane,-41.28440119,174.7750243
CentrePort,Wellington,CentrePort Wellington,-41.27755895,174.7855339
